tester_id,session_id,order_seq,shop_id,branch_id,funny_score,repeat_feel,note
ALICE,S1,1,s01,default,5,0,"开场不错"
ALICE,S1,2,s01,default_b,4,0,""
ALICE,S1,3,s01,regular_3rd,5,0,"第3单老主顾梗"
ALICE,S1,4,s01,default_c,4,0,""
ALICE,S1,5,s01,vip_5th,5,0,"第5单铁粉梗"
ALICE,S1,6,s01,default_d,3,0,""
ALICE,S1,7,s01,default_e,4,0,""
ALICE,S1,8,s01,default_f,4,0,""
ALICE,S1,9,s01,default_g,3,1,"稍微重复"
ALICE,S1,10,s01,default_h,4,0,""
ALICE,S1,11,s01,default,4,0,""
ALICE,S1,12,s01,default_b,3,0,""
BOB,S2,1,s02,shop_s02_philo,5,0,"哲学店梗"
BOB,S2,2,s03,shop_s03_gentle,4,0,""
BOB,S2,3,s04,shop_s04_weird,5,0,""
BOB,S2,4,s05,shop_s05_lazy,4,0,""
BOB,S2,5,s01,poor,4,0,"穷鬼"
BOB,S2,6,s01,poor_b,3,0,""
BOB,S2,7,s01,odd_eats,5,0,"黑暗料理"
BOB,S2,8,s01,odd_eats_b,4,0,""
BOB,S2,9,s01,odd_eats_c,4,0,""
BOB,S2,10,s01,boss_blacklist,5,0,"拉黑"
BOB,S2,11,s01,remark_more_spicy,4,0,"多辣"
BOB,S2,12,s01,rider_r003_lost,5,0,"迷路骑手"
BOB,S2,13,s01,shop_s01_angry,4,0,""
BOB,S2,14,s01,rider_r001_fast,4,0,""
BOB,S2,15,s01,rider_r002_slow,4,0,""
BOB,S2,16,s01,remark_no_scold,4,0,""
BOB,S2,17,s01,address_weird,4,0,"奇葩地址"
